objid,ra,dec,z
1237655109443584453,150.315121141894,55.907125089704,0.359401
1237655109443584286,150.362271145347,55.9230901551778,0.302951
1237655109443584277,150.330287681052,55.9220849078516,0.416034
1237655109443584810,150.310836924237,55.9049203824113,0.487629
1237655109443584511,150.359339051451,55.9092994408805,0.614745
1237658304350258370,150.359735675365,55.8940472598217,0.2175
1237658304350257905,150.359265611644,55.8772167858554,0.415502
1237658304350257855,150.319058280826,55.8812104344882,0.600946
1237655109443584821,150.31264290089,55.9144200053174,0.245946
1237655109443584454,150.312778186661,55.9097674160186,0.628064
1237655109443584843,150.345984803109,55.9136287369214,-9999
1237658304350258239,150.346701878378,55.8976882050818,0.43903
1237658304350257894,150.33893843127,55.8845570947935,0.388287
1237658304350257876,150.337674597229,55.8757744243719,0.510167
1237655109443584123,150.321581163371,55.9011084796956,0.238821
1237658304350257859,150.320217033022,55.8836985975023,0.323144
1237655109443584437,150.31619082005,55.8957210454232,0.310098
1237655109443584486,150.346986146017,55.9041739978286,0.525591
1237658304350258452,150.347635006704,55.8879343388457,0.627481
1237658304350257912,150.348086385611,55.8948356158991,0.428711
1237658304350257924,150.349388996465,55.9011112728669,0.375649
1237655109443584842,150.352286652028,55.9077333995881,0.770284
1237655109443584499,150.351828121611,55.9098311841078,-9999
1237658304350257923,150.351347828486,55.9020427104307,0.399404
1237658304350257873,150.33157549243,55.8793768509396,0.393272
1237658304350257864,150.33294138463,55.8733309948085,0.215304
1237655109443585100,150.342678671225,55.90880629891,0.483551
1237658304350257272,150.34237424885,55.896395745197,0.376755
1237658304350257895,150.339669311053,55.8837730160774,0.509299
1237658304350257271,150.340627074967,55.8979781877519,0.49015
